order_id,customer_id,order_date,product_id,quantity,price,order_status,shipping_address,city,country,payment_method,discount,category,sales_rep,region,ship_date,delivery_days,returned,gender
1001,C164,2025-12-04,P101,5,27.5,Pending,"418 Main St, City8",City8,Canada,Credit Card,11.81,Electronics,SR01,North,2025-12-15,4,Yes,Other
1002,C051,2025-12-23,P141,9,44.26,Returned,"211 Main St, City10",City10,Australia,Credit Card,15.18,Clothing,SR14,East,2025-12-19,3,Yes,Female
1003,C027,2025-12-03,P124,2,38.45,Cancelled,"972 Main St, City2",City5,Australia,Credit Card,14.59,Toys,SR04,West,2025-12-07,9,No,Other
1004,C159,2025-12-29,P123,10,22.45,Shipped,"150 Main St, City2",City3,India,Cash,19.7,Clothing,SR04,West,2025-12-19,8,No,Male
1005,C095,2025-12-12,P113,5,71.36,Shipped,"168 Main St, City8",City14,India,PayPal,3.27,Home,SR09,South,2025-12-22,1,Yes,Male
1006,C081,2025-12-13,P117,2,24.24,Cancelled,"270 Main St, City3",City3,Germany,Gift Card,17.69,Sports,SR15,South,2025-12-18,3,Yes,Other
1007,C144,2025-12-18,P116,10,45.12,Returned,"314 Main St, City11",City13,India,Gift Card,1.82,Electronics,SR04,South,2025-12-12,7,Yes,Female
1008,C098,2025-12-20,P129,9,28.13,Shipped,"216 Main St, City1",City18,USA,Cash,15.37,Books,SR04,East,2025-12-29,3,No,Male
1009,C185,2025-12-29,P146,5,97.29,Pending,"992 Main St, City9",City17,Australia,Cash,16.83,Toys,SR20,South,2025-12-11,6,Yes,Other
1010,C200,2025-12-30,P133,1,61.49,Returned,"731 Main St, City1",City10,UK,Cash,4.79,Clothing,SR19,North,2025-12-07,8,Yes,Other
1011,C197,2025-12-05,P108,8,94.89,Pending,"532 Main St, City8",City19,Australia,Gift Card,19.29,Toys,SR07,East,2025-12-27,6,No,Other
1012,C116,2025-12-04,P115,4,10.14,Shipped,"211 Main St, City10",City5,India,PayPal,0.14,Sports,SR02,South,2025-12-06,1,No,Male
1013,C132,2025-12-08,P117,8,24.56,Pending,"822 Main St, City15",City13,France,Gift Card,4.86,Home,SR14,South,2025-12-08,2,No,Female
1014,C109,2025-12-14,P129,1,68.63,Shipped,"311 Main St, City18",City1,Canada,Cash,16.01,Electronics,SR08,South,2025-12-14,9,No,Male
1015,C109,2025-12-06,P117,8,27.97,Shipped,"115 Main St, City18",City19,USA,Credit Card,13.04,Toys,SR01,North,2025-12-17,3,No,Female
1016,C124,2025-12-07,P125,1,19.8,Shipped,"225 Main St, City1",City5,Australia,Gift Card,5.7,Sports,SR18,West,2025-12-11,4,No,Male
1017,C015,2025-12-19,P147,9,9.84,Cancelled,"765 Main St, City4",City13,France,Gift Card,10.06,Toys,SR06,North,2026-01-03,2,Yes,Male
1018,C153,2025-12-03,P143,4,42.75,Pending,"580 Main St, City18",City20,USA,Credit Card,8.38,Toys,SR19,East,2025-12-18,4,No,Male
1019,C068,2025-12-13,P108,5,47.88,Shipped,"108 Main St, City4",City5,France,Credit Card,1.47,Clothing,SR17,East,2025-12-10,6,Yes,Male
1020,C095,2025-12-10,P110,8,84.03,Cancelled,"378 Main St, City18",City3,France,Credit Card,13.36,Toys,SR10,North,2025-12-10,5,Yes,Male
1021,C191,2025-12-18,P109,5,31.04,Pending,"452 Main St, City6",City7,India,Cash,10.11,Books,SR02,North,2025-12-29,5,Yes,Male
1022,C086,2025-12-25,P108,5,19.5,Returned,"724 Main St, City13",City10,Germany,Credit Card,2.24,Sports,SR05,North,2025-12-25,10,Yes,Female
1023,C033,2025-12-02,P119,6,90.29,Shipped,"251 Main St, City3",City12,Canada,PayPal,13.34,Books,SR18,West,2025-12-11,4,Yes,Male
1024,C106,2025-12-01,P111,6,79.1,Returned,"852 Main St, City20",City13,Australia,PayPal,5.34,Sports,SR04,West,2025-12-04,8,Yes,Male
1025,C118,2025-12-12,P119,4,25.39,Pending,"456 Main St, City1",City14,UK,Credit Card,19.34,Books,SR12,West,2026-01-05,6,Yes,Male
1026,C067,2025-12-06,P137,5,7.66,Returned,"254 Main St, City20",City3,Australia,Cash,8.73,Toys,SR04,West,2025-12-14,5,Yes,Other
1027,C112,2025-12-01,P133,9,69.93,Pending,"231 Main St, City15",City18,USA,Cash,12.46,Sports,SR04,East,2026-01-03,5,No,Female
1028,C104,2025-12-23,P118,9,16.21,Returned,"224 Main St, City11",City6,Canada,PayPal,12.31,Books,SR13,North,2025-12-21,5,Yes,Female
1029,C149,2025-12-20,P141,6,48.63,Returned,"816 Main St, City9",City7,France,Gift Card,15.87,Sports,SR06,North,2025-12-20,9,No,Male
1030,C193,2025-12-08,P143,5,25.56,Pending,"546 Main St, City6",City3,USA,PayPal,19.68,Toys,SR03,West,2025-12-28,10,Yes,Other
1031,C179,2025-12-13,P131,7,27.41,Shipped,"709 Main St, City18",City2,USA,Gift Card,4.38,Sports,SR17,West,2025-12-05,9,Yes,Male
1032,C117,2025-12-05,P129,9,98.83,Cancelled,"472 Main St, City10",City13,France,Gift Card,16.61,Toys,SR15,South,2026-01-01,8,No,Male
1033,C164,2025-12-09,P149,9,50.51,Pending,"179 Main St, City12",City7,USA,Cash,4.69,Books,SR11,North,2025-12-10,3,Yes,Female
1034,C178,2025-12-05,P145,4,10.16,Returned,"685 Main St, City10",City5,Germany,Gift Card,1.25,Home,SR13,North,2025-12-26,8,Yes,Female
1035,C077,2025-12-25,P124,7,55.66,Pending,"674 Main St, City16",City13,UK,Gift Card,9.71,Home,SR11,West,2025-12-12,8,Yes,Other
1036,C137,2025-12-01,P125,10,58.17,Shipped,"582 Main St, City15",City10,Germany,PayPal,17.34,Clothing,SR02,East,2025-12-26,6,Yes,Female
1037,C084,2025-12-11,P148,7,30.7,Returned,"399 Main St, City4",City4,Germany,Credit Card,14.98,Electronics,SR12,South,2025-12-06,1,Yes,Male
1038,C052,2025-12-27,P101,10,18.62,Pending,"481 Main St, City16",City12,USA,PayPal,9.3,Books,SR12,South,2025-12-09,3,No,Male
1039,C149,2025-12-01,P119,10,69.02,Returned,"857 Main St, City6",City18,India,Credit Card,11.84,Sports,SR08,North,2025-12-21,10,Yes,Other
1040,C011,2025-12-12,P134,7,67.5,Shipped,"992 Main St, City9",City1,UK,Credit Card,16.99,Home,SR04,West,2025-12-25,8,Yes,Female
1041,C046,2025-12-24,P133,5,63.12,Returned,"330 Main St, City5",City5,Australia,Cash,6.45,Clothing,SR03,East,2025-12-30,4,No,Other
1042,C157,2025-12-22,P124,6,6.75,Cancelled,"947 Main St, City6",City18,India,Cash,15.96,Books,SR09,East,2025-12-02,9,Yes,Male
1043,C062,2025-12-24,P126,8,57.29,Pending,"658 Main St, City4",City3,Canada,Gift Card,8.96,Electronics,SR03,East,2025-12-16,7,Yes,Female
1044,C170,2025-12-19,P123,8,57.12,Cancelled,"875 Main St, City2",City19,France,Cash,7.04,Home,SR09,East,2025-12-18,4,Yes,Other
1045,C050,2025-12-11,P107,9,95.27,Pending,"950 Main St, City7",City1,Canada,Gift Card,5.53,Toys,SR17,East,2025-12-08,4,No,Male
1046,C093,2025-12-06,P119,1,71.96,Pending,"179 Main St, City12",City4,USA,Cash,13.95,Clothing,SR16,North,2025-12-02,10,No,Female
1047,C123,2025-12-15,P121,3,96.68,Cancelled,"153 Main St, City18",City4,Australia,Credit Card,8.01,Electronics,SR19,North,2025-12-11,3,No,Male
1048,C064,2025-12-04,P135,7,62.2,Pending,"805 Main St, City4",City9,Germany,Gift Card,18.17,Books,SR19,West,2025-12-21,10,Yes,Other
